id,decimallongitude,decimallatitude,date_year,depth,sst
be5d2411-150e-439d-aef9-4b8b422bf1d7,-66.04799,10.568004,2012.0,4.0,26.79
3a2147f3-3c8a-40aa-9c7d-031b21f41974,-63.36914063,15.39013572,2012.0,12.0,28.08
5314fdf8-f94a-44ba-a771-631ad9cd3a46,-63.36914063,15.39013572,2012.0,12.0,28.08
b7543636-3719-44eb-8744-35ebd4c7a3a2,-63.36914063,15.40072782,2012.0,16.0,28.08
92a2ee1f-2265-4062-a2d0-723478ede859,-66.0806179,10.54262272,2012.0,4.0,26.79
03d8ca49-01b3-4102-b931-1f26785bfa25,-68.00537109,10.5526218,2012.0,11.0,27.23
50cdddca-5095-4804-b1ea-dce586301f03,-67.34233975,10.54421542,2012.0,20.0,27.12
d8933a11-fc81-4f9b-895f-5711137fbf9e,-63.36914063,15.39013572,2012.0,17.0,28.08
799ebba1-d551-4e11-bc9b-b997013c0c22,-63.38012695,15.40072782,2012.0,20.0,28.08
a2142294-5e51-495f-ac34-9c996013cf61,-66.84400678,10.62239534,2012.0,1.0,26.83
f263c77d-e9b3-42ec-b98a-f27dcff19adb,-67.84606934,10.44527299,2012.0,4.0,27.19
d3da2bdc-816c-4a49-afef-ca875039be75,-67.51684427,10.52246536,2011.0,1.0,27.14
4682ac18-2a66-440e-8dd5-7fe079e6d7be,-66.26175821,10.64936293,2012.0,5.0,26.71
a5b4a46a-9661-4b5c-808b-3ad8fcd54540,-67.94782162,10.4840984,2013.0,3.0,27.2
03c3579b-df9c-4c37-94bc-cc3e4c940329,-66.60083771,11.76460429,2012.0,16.0,27.51
0db8865a-c823-4cc3-af3f-84cc063c4718,-69.85093206,12.05246384,2013.0,1.5,26.96
26360d3c-9bf9-4cb1-aa12-85d355d1223c,-68.24707031,10.86432715,2012.0,10.0,27.27
99e2b898-7788-4aa3-8336-da13995efc91,-66.851358,10.621246,2013.0,1.0,26.83
5cd64e13-e793-4b63-8108-f9ec74e5b952,-67.82958984,10.52021854,2013.0,6.0,27.19
c0351bcf-cf49-4753-a0b6-83d8e2708725,-68.25999856,10.93000467,2013.0,1.8,27.26
ea81440e-d379-471c-bbd8-1a503f30415d,-68.22509766,10.92501142,2013.0,,27.27
9e54af7a-66bb-4660-987d-2b0a9593d7c0,-64.75865364,10.30740372,2013.0,6.0,26.38
61d8d856-f279-456d-8b44-c22d69a539dc,-66.88443303,10.61250399,2013.0,3.0,26.83
54e16e90-4db6-4f51-a53d-71c02e258a3e,-66.17228508,10.60847565,2013.0,25.0,26.74
1304f0c6-d535-4922-9094-96f9d5f9db76,-68.15917969,10.66060795,2013.0,15.0,27.27
bd25374e-358e-4d19-8a58-3b1404e6dd0f,-67.93093443,10.46282943,2013.0,1.0,27.2
3c5e192e-7dd4-467f-84bb-00ab50880fd6,-65.41856289,10.92277812,2013.0,6.0,26.98
f4ef3b41-6d90-4321-b4c1-f1b49d2c309e,-66.06370926,10.58350298,2013.0,5.0,26.79
320f9b22-9832-4a6a-903b-1ce7d674e3ea,-67.66479492,11.97484475,2013.0,20.0,27.63
c80b40a3-28cd-459f-9157-cd37b2932995,-67.74497956,10.49604178,2013.0,3.0,
beebd613-279b-48b1-abc9-4794dfcb3d98,-64.7252655,10.30913485,2013.0,4.0,26.27
693c9698-1ea2-4c9b-9253-9b72a3469a27,-67.80688763,10.48110227,2013.0,10.0,
a6d8d70c-d13d-4684-9059-76d303b77947,-68.22509766,10.85151445,2013.0,13.0,27.27
8403c9d0-b84e-44ae-9d7d-d6d29de16769,-63.97613525,11.09397151,2013.0,1.0,26.39
2f3a5c92-dadf-482f-8d82-6b2b67df8f03,-67.73672104,10.49321323,2013.0,0.0,
74c56e6e-cf80-4c1f-901c-a9e8e12808ce,-67.73282111,10.49946369,2013.0,2.0,
bdfbd9d7-a424-4525-ab77-6910d70ee2eb,-67.99562931,10.49137763,2013.0,1.0,27.2
33346c7e-e6d8-40fc-bbff-f25d831eb1f1,-67.01985865,10.6137945,2016.0,1.0,26.98
a0636558-c1f5-4c99-9d19-0d656930c7dc,-64.46777344,10.94119179,2013.0,25.0,26.33
1fb9fe35-f943-4a12-89be-df3abce4b088,-66.84573144,10.62191027,2013.0,,26.83
fbeb8f65-8820-42ae-bb2f-b6d4d5d4153b,-66.84572875,10.62189972,2013.0,,26.83
3f58d0de-e56c-4c15-aa6d-bb5a831c2e3a,-67.738665,10.496947,2010.0,8.0,
7e470719-261a-4289-92ac-fd0e6d287769,-67.74483204,10.49633584,2011.0,9.0,
a508e550-d13c-4b3c-932d-7cd6f64add59,-69.84609604,12.03621466,2011.0,2.0,26.96
9227877c-be3d-41a1-b943-ca90aa5fc26d,-67.59896278,10.51025006,2011.0,6.0,27.16
f9736d21-1323-409f-ba89-2f326bbcb74a,-67.82441406,10.4881851,2013.0,3.5,
314833de-3664-43e4-b95d-4bcd0307e713,-68.20037842,10.78204658,2009.0,,27.26
